ESTILO;UNIDADES;DEPARTAMENTO
113163;9;721
113164;3;601
113169;39;721
113204;2;601
113205;1;721
113208;305;662
113216;24;662
113219;12;662
113220;4;721
113222;2;721
113223;13;721
113224;5;721
113226;16;721
113227;2;721
113229;49;662
113230;19;721
113231;5;721
113232;11;721
113233;12;721
113234;19;721
113235;37;721
113236;40;662
113238;39;721
113239;12;721
113240;12;721
113241;2;661
113242;13;661
113245;28;721
113246;21;721
113287;20;721
113290;19;721
113323;12;662
113332;7;662
113335;4;662
113412;2;725
113413;6;725
113416;2;725
113418;2;725
113419;8;725
113420;4;725
113422;3;725
113427;1;725
113432;5;725
113435;49;726
113438;6;725
113439;72;726
113440;108;726
113442;4;725
113444;6;725
113446;4;725
113458;2;733
113494;16;721
113503;1;721
113504;20;721
113506;12;721
113508;41;721
113510;30;721
113511;16;721
113513;15;721
113514;48;721
113520;18;721
113522;39;721
113524;43;721
113525;29;721
113526;18;721
113527;22;721
113528;3;721
113529;40;721
113530;27;721
113531;24;721
113533;4;602
113535;8;602
113536;30;602
113537;5;602
113543;12;602
113544;15;602
113546;3;602
113547;11;602
113548;20;602
113550;9;602
113551;26;602
113552;7;602
113553;4;602
113554;39;602
113555;6;602
113556;11;602
113557;14;602
113558;12;602
113559;9;601
113561;1;601
113562;1;601
113563;11;601
113564;5;601
113565;1;601
113566;11;601
113570;6;601
113572;7;601
113573;38;601
113574;54;601
113575;22;601
113576;16;601
113577;19;601
113578;11;601
113579;19;601
113580;38;601
113581;14;601
113582;11;601
113583;47;602
113584;66;602
113585;4;602
113590;2;602
113593;18;602
113595;6;602
113596;11;602
113597;1;602
113598;24;602
113600;27;601
113601;16;601
113603;2;601
113604;56;601
113605;3;601
113607;21;601
113609;19;601
113610;4;601
113617;409;602
113618;471;602
113619;314;602
113620;30;602
113621;120;602
113622;22;602
113623;42;602
113624;4;602
113625;32;602
113626;27;602
113643;2;700
113652;23;602
113653;315;602
113660;1;664
113667;20;664
113684;1;664
113692;23;664
113693;20;664
113706;3;664
113707;3;664
113723;14;664
113754;39;664
113762;19;664
113774;11;664
113776;37;664
113777;40;664
113780;3;664
113789;6;664
113800;5;664
113803;1;664
113827;2;661
113832;3;700
113833;1;700
113834;6;700
113839;9;700
113842;5;700
113871;27;726
113872;16;726
113874;22;726
113876;8;726
113877;14;726
113878;6;731
113880;3;726
113881;13;726
113882;5;731
113883;10;726
113884;23;726
113886;6;731
113887;19;726
113888;8;726
113889;1;726
113892;1;682
113894;7;726
113902;1;726
113908;3;682
113926;8;726
113929;18;731
113930;12;726
113931;11;726
113933;8;726
113934;11;726
113935;21;726
113936;90;731
113937;23;731
113938;24;726
113939;36;726
113942;12;726
113943;7;726
113944;12;731
113945;24;731
113946;24;731
113947;1;726
113951;24;731
113960;1;726
113965;2;670
113973;1;726
114022;20;667
114024;5;667
114026;1;667
114034;2;667
114037;9;667
114050;3;667
114056;1;667
114065;2;667
114077;15;667
114089;8;667
114097;13;667
